Num_Acc,catr,circ,nbv,prof,plan,larrout,surf,infra,situ,vma
202300000001,4,1,2.0,1,1,-1.0,2,0,1,30
202300000001,4,1,1.0,1,1,-1.0,2,0,1,30
202300000002,3,2,3.0,1,1,-1.0,2,0,1,50
202300000003,3,2,4.0,1,1,-1.0,2,5,1,50
202300000004,2,2,4.0,1,1,12.0,2,0,1,50
202300000005,4,1,1.0,1,1,-1.0,2,0,1,30
202300000005,4,2,2.0,1,1,-1.0,2,0,1,30
202300000006,4,1,1.0,1,1,-1.0,2,0,1,50
202300000007,3,2,4.0,1,1,-1.0,2,0,1,50
202300000008,3,3,4.0,1,1,-1.0,2,0,1,50
202300000008,3,2,2.0,1,1,-1.0,2,0,1,50
202300000009,3,3,4.0,1,1,-1.0,2,5,1,50
202300000009,3,1,2.0,1,1,-1.0,1,5,1,50
202300000010,3,2,2.0,1,1,-1.0,2,0,1,50
202300000011,1,1,5.0,1,1,-1.0,2,3,1,70
202300000012,1,1,1.0,2,1,-1.0,1,3,1,50
202300000012,1,4,2.0,2,1,-1.0,1,0,1,50
202300000013,3,2,2.0,2,1,3.0,2,0,1,50
202300000014,3,1,2.0,1,1,-1.0,2,0,1,50
202300000015,3,3,3.0,1,1,-1.0,2,0,1,50
202300000016,3,2,5.0,2,1,-1.0,2,5,1,50
202300000016,3,1,1.0,2,1,-1.0,2,0,1,50
202300000017,3,2,2.0,1,1,-1.0,2,0,1,30
202300000018,3,2,4.0,3,1,14.0,2,0,1,90
202300000018,3,2,2.0,1,1,-1.0,2,0,1,80
202300000019,3,2,2.0,1,1,5.5,1,0,1,50
202300000020,9,-1,1.0,1,2,-1.0,1,0,8,-1
202300000021,3,2,2.0,1,1,-1.0,1,0,1,80
202300000022,3,2,2.0,1,4,5.0,1,0,1,70
202300000023,4,2,2.0,1,1,-1.0,1,0,1,50
202300000024,3,2,2.0,2,1,7.0,1,0,4,50
202300000025,3,2,2.0,1,1,5.5,1,0,1,50
202300000026,3,2,2.0,1,1,7.0,1,0,1,50
202300000027,2,3,2.0,1,1,-1.0,1,9,1,70
202300000028,3,2,2.0,1,1,-1.0,1,0,1,50
202300000029,3,2,2.0,1,2,6.0,1,0,1,80
202300000030,3,2,2.0,1,1,-1.0,1,9,1,50
202300000031,3,2,2.0,1,1,7.0,1,0,3,80
202300000032,3,2,2.0,2,1,7.0,1,0,3,90
202300000033,4,2,2.0,2,1,7.0,1,0,1,30
202300000034,4,2,2.0,1,1,-1.0,2,0,1,70
202300000035,3,2,2.0,1,1,10.0,2,0,1,70
202300000036,3,2,2.0,1,1,5.5,1,0,3,80
202300000037,4,2,2.0,2,2,-1.0,2,0,1,80
202300000038,3,3,3.0,1,1,3.0,1,0,3,90
202300000039,3,2,2.0,2,3,7.0,1,0,1,80
202300000040,3,2,2.0,1,1,7.0,1,0,8,50
202300000041,3,2,2.0,2,3,5.5,1,0,1,90
202300000041,3,2,-1.0,2,2,-1.0,1,0,1,-1
202300000042,4,2,2.0,1,1,-1.0,1,0,4,50
202300000043,3,2,2.0,1,1,4.0,1,0,1,90
202300000044,3,2,2.0,2,1,5.5,1,5,1,50
202300000044,3,-1,-1.0,1,1,-1.0,-1,0,1,-1
202300000045,3,2,2.0,1,2,6.0,1,0,3,70
202300000046,1,3,2.0,1,1,10.0,2,0,1,130
202300000047,3,1,1.0,1,3,3.5,1,0,1,80
202300000048,1,3,2.0,1,1,10.5,1,0,1,130
202300000049,1,3,3.0,1,1,13.5,1,0,1,90
202300000050,1,3,3.0,1,1,13.5,1,0,1,130
202300000051,2,2,2.0,2,3,-1.0,1,0,3,60
202300000052,2,2,2.0,1,3,-1.0,1,0,1,40
202300000053,4,2,2.0,2,1,-1.0,1,0,1,50
202300000054,2,2,2.0,1,1,7.0,1,0,3,80
202300000055,3,3,4.0,1,2,-1.0,1,0,3,110
202300000056,3,2,2.0,2,3,7.0,1,0,1,80
202300000057,9,1,2.0,1,1,7.0,1,0,1,50
202300000058,6,-1,-1.0,1,1,-1.0,1,0,1,30
202300000059,3,2,2.0,1,1,-1.0,1,0,1,80
202300000060,3,2,2.0,4,2,5.5,2,0,1,90
202300000061,3,2,2.0,1,1,-1.0,1,0,8,80
202300000062,3,2,5.0,1,1,-1.0,2,0,1,50
202300000062,3,2,3.0,1,1,5.5,2,0,1,50
202300000063,3,2,2.0,1,2,5.5,1,0,3,80
202300000064,3,-1,2.0,1,1,-1.0,1,0,5,30
202300000065,4,2,2.0,2,1,-1.0,2,0,3,80
202300000066,3,2,2.0,2,3,7.0,1,0,1,80
202300000066,3,2,2.0,1,1,-1.0,1,0,8,80
202300000067,1,3,3.0,1,1,13.5,2,0,2,130
202300000068,4,2,2.0,1,1,-1.0,1,0,1,50
202300000069,1,1,2.0,1,1,10.0,1,0,1,110
202300000070,1,1,3.0,2,1,9.0,1,1,1,70
202300000071,1,3,6.0,1,2,-1.0,1,3,1,70
202300000072,1,3,6.0,1,1,-1.0,1,0,2,70
202300000073,3,2,2.0,1,1,-1.0,1,0,1,50
202300000074,1,1,2.0,2,2,-1.0,1,1,1,50
202300000075,2,-1,1.0,2,2,-1.0,2,0,1,50
202300000076,4,1,4.0,1,1,-1.0,1,0,1,50
202300000076,4,1,3.0,1,1,-1.0,1,0,1,50
202300000077,1,-1,3.0,1,1,6.0,1,0,1,110
202300000078,3,1,1.0,1,1,-1.0,1,0,1,50
202300000078,3,2,2.0,1,1,-1.0,1,0,1,50
202300000079,2,1,4.0,1,1,17.5,2,0,1,90
202300000080,3,2,2.0,2,1,-1.0,1,0,1,80
202300000081,1,1,3.0,1,1,14.0,2,0,1,110
202300000082,2,1,2.0,1,3,-1.0,1,0,1,50
202300000083,1,1,2.0,1,2,10.5,2,0,1,70
202300000084,4,2,2.0,3,3,-1.0,1,0,1,50
202300000084,4,2,1.0,1,1,-1.0,1,0,1,50
202300000085,2,-1,2.0,2,2,-1.0,3,0,1,90
202300000086,3,2,2.0,2,1,-1.0,1,0,1,50
202300000087,1,3,4.0,4,3,17.0,2,0,1,90
202300000088,4,1,1.0,2,2,-1.0,1,0,1,30
202300000088,4,1,1.0,2,1,-1.0,1,0,1,30
202300000089,1,3,3.0,1,1,13.5,3,0,1,110
202300000090,3,2,2.0,2,1,5.0,1,0,1,50
202300000091,1,3,4.0,1,1,17.5,2,2,1,90
202300000092,3,1,0.0,2,1,0.0,1,0,8,50
202300000093,1,-1,4.0,1,1,-1.0,3,0,1,110
202300000094,3,2,6.0,1,1,-1.0,1,1,1,50
202300000095,1,3,4.0,1,1,-1.0,2,0,1,90
202300000096,3,2,4.0,1,1,-1.0,1,0,1,50
202300000097,4,2,2.0,1,1,-1.0,1,0,1,50
202300000098,4,1,2.0,2,2,-1.0,1,0,1,50
202300000098,4,2,2.0,1,1,-1.0,1,0,1,50
202300000099,2,2,4.0,1,1,-1.0,1,0,1,70
202300000100,4,1,3.0,1,1,-1.0,1,0,1,70
202300000101,3,1,2.0,1,3,-1.0,1,0,1,30
202300000102,4,2,2.0,1,1,-1.0,1,9,1,50
202300000103,4,2,2.0,1,2,-1.0,1,0,1,30
202300000104,4,1,1.0,1,1,-1.0,1,0,1,30
202300000105,2,2,-1.0,1,1,-1.0,1,0,1,-1
202300000105,2,-1,0.0,1,1,0.0,1,0,1,80
202300000106,3,1,0.0,2,2,-1.0,1,5,1,50
202300000106,3,2,2.0,2,1,-1.0,1,0,1,50
202300000107,3,2,2.0,1,1,6.0,1,0,1,80
202300000107,3,-1,-1.0,-1,-1,-1.0,-1,-1,-1,-1
202300000108,2,2,2.0,1,2,-1.0,1,0,4,50
202300000109,3,2,2.0,1,3,5.5,1,0,1,50
202300000110,4,2,2.0,1,1,-1.0,1,0,1,30
202300000110,4,2,2.0,1,1,-1.0,1,0,1,50
202300000111,4,2,-1.0,1,1,-1.0,1,9,1,-1
202300000111,4,2,2.0,1,1,-1.0,1,0,1,50
202300000112,4,1,2.0,1,1,-1.0,1,0,1,30
202300000113,3,2,2.0,3,1,7.0,2,0,1,80
202300000113,3,2,2.0,1,1,-1.0,2,0,1,50
202300000114,3,2,2.0,2,4,4.0,2,0,8,90
202300000115,3,3,0.0,1,1,-1.0,1,0,1,90
202300000116,4,-1,2.0,2,1,-1.0,2,0,1,50
202300000117,7,1,2.0,1,2,-1.0,1,3,1,50
202300000117,7,1,3.0,1,2,-1.0,1,0,1,50
202300000118,3,2,2.0,1,1,7.0,2,0,1,90
202300000119,3,2,2.0,2,1,7.0,2,8,1,90
202300000120,4,2,3.0,1,1,-1.0,1,5,8,-1
